drug,correlation,p_value,n,significance
BRD:BRD-K95828359-001-01-0,-0.18245700125096867,1.6082839864463728e-05,552,p < 0.05
BRD:BRD-K66295376-001-13-1,-0.15383407962811166,0.00035541881199482644,535,p < 0.05
BRD:BRD-K13005598-001-02-3,-0.14424545497902122,0.0017368113206354247,469,p < 0.05
BRD:BRD-A00842753-001-01-9,-0.14413509388448112,0.0008366074749764991,534,p < 0.05
BRD:BRD-K03399463-001-01-6,-0.13927803531661193,0.0024765019696796637,470,p < 0.05
BRD:BRD-K26756394-001-02-2,-0.13713403600854945,0.0012383860570118314,552,p < 0.05
BRD:BRD-K96671969-001-03-1,-0.13402488048381525,0.001583910063370063,553,p < 0.05
BRD:BRD-K86873305-236-14-7,-0.13137459836056045,0.0023505707657724396,534,p < 0.05
BRD:BRD-K51247865-001-01-2,-0.12839743621241165,0.0024408759619093377,555,p < 0.05
BRD:BRD-K47407372-001-17-1,-0.12707235996873317,0.0028316902428768983,550,p < 0.05
BRD:BRD-K60184833-001-05-6,-0.12594705232050268,0.0031708253208564243,547,p < 0.05
BRD:BRD-K33903083-001-03-5,-0.12586164101375685,0.0062908688946299125,470,p < 0.05
BRD:BRD-K86670086-001-02-5,-0.1258134202195179,0.003589865340035076,534,p < 0.05
BRD:BRD-K96137854-001-17-1,-0.1252866530888607,0.0032488861494042536,550,p < 0.05
BRD:BRD-K42260897-001-09-2,-0.12479367488289855,0.0035526386002581248,544,p < 0.05
BRD:BRD-K16444452-001-09-1,-0.12267932252921594,0.0038608313573944356,553,p < 0.05
BRD:BRD-A93695607-322-02-5,-0.12104996447948817,0.00561894916314273,522,p < 0.05
BRD:BRD-K71977764-001-01-2,-0.12095257201339726,0.005088315305304398,535,p < 0.05
BRD:BRD-K02729857-001-01-9,-0.11972053834707282,0.005604923565040633,534,p < 0.05
BRD:BRD-K54665485-001-07-9,-0.11963287632205546,0.004964130520751407,550,p < 0.05
BRD:BRD-K87278688-001-01-0,-0.11945263230021196,0.00503026990359695,550,p < 0.05
