threshold	net_benefit
5.0	0.29276315789473684
6.000000000000001	0.28523936170212766
7.000000000000001	0.2775537634408602
8.0	0.26970108695652173
9.0	0.2616758241758242
10.0	0.2534722222222222
11.0	0.24508426966292135
12.000000000000002	0.23650568181818182
13.0	0.22772988505747127
14.000000000000002	0.21875
15.000000000000002	0.20955882352941174
16.0	0.2001488095238095
17.0	0.1905120481927711
18.0	0.18064024390243905
19.0	0.1705246913580247
20.0	0.16015625
21.000000000000004	0.1495253164556962
22.000000000000004	0.13862179487179482
23.0	0.12743506493506496
24.0	0.11595394736842107
25.0	0.10416666666666669
26.0	0.0920608108108108
27.0	0.07962328767123286
28.000000000000004	0.06684027777777773
28.999999999999996	0.05369718309859156
30.0	0.0401785714285714
31.0	0.026268115942028936
32.0	0.011948529411764663
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
