drug	correlation	p_value	n
BRD:BRD-A00218260-001-03-4	-0.09040869724225518	0.03451739295244689	547
BRD:BRD-A07870296-001-07-4	-0.08975622517303083	0.03584718094458817	547
BRD:BRD-A04327189-003-03-3	-0.08300985873275424	0.055692693581449695	532
BRD:BRD-A00827783-001-24-6	-0.08108705393165838	0.057372264779238846	550
BRD:BRD-A07395371-003-10-0	-0.07860741838665733	0.06545108945129455	550
BRD:BRD-A07780951-065-10-0	-0.07502912362841577	0.08741026061630298	520
BRD:BRD-A05515753-001-03-2	-0.06349858406744545	0.1369390336362646	550
BRD:BRD-A01307728-001-01-4	-0.06072327164737454	0.18926708351054544	469
BRD:BRD-A08079565-001-01-8	-0.059041289152813314	0.17108163276089078	539
BRD:BRD-A01643550-001-04-9	-0.05768555327964393	0.18401254558632782	532
BRD:BRD-A01907367-001-01-7	-0.056688115272507285	0.18434428182487922	550
BRD:BRD-A01787639-003-16-9	-0.050069367774434555	0.2423720251690749	547
BRD:BRD-A01563671-001-02-7	-0.04770077465202833	0.2654039884775088	547
BRD:BRD-A00147595-001-01-5	-0.04396940756227894	0.3033265862906649	550
BRD:BRD-A06935312-001-04-3	-0.04334320564245291	0.31027149078233707	550
BRD:BRD-A06771424-004-01-7	-0.04240316831925965	0.3258022270609981	539
BRD:BRD-A00100033-001-08-9	-0.039195331216732146	0.35670953862980814	555
BRD:BRD-A07440155-003-25-4	-0.03588056940233311	0.4010037425962461	550
BRD:BRD-A04506385-001-01-2	-0.03587000384953476	0.4041694021993058	543
BRD:BRD-A08302182-001-01-7	-0.03554737340216196	0.4066838435153933	547
BRD:BRD-A01593789-001-03-1	-0.034231831452694705	0.4225834201766337	551
BRD:BRD-A07232941-001-02-7	-0.03112339665134881	0.4663539493481553	550
BRD:BRD-A02759312-003-24-5	-0.030476219965585877	0.474873611905457	552
BRD:BRD-A00758722-001-04-9	-0.028861226746390255	0.5065236738161584	532
BRD:BRD-A02971356-001-09-9	-0.026384874852134255	0.4349000838478348	878
BRD:BRD-A00376169-001-01-6	-0.025522736514343017	0.5514036778119343	547
BRD:BRD-A07704283-001-01-3	-0.022463734985329054	0.5997722858283876	548
BRD:BRD-A07815743-001-01-1	-0.022386574380861966	0.6003599856507964	550
BRD:BRD-A06426627-001-03-5	-0.022299015653610723	0.6027836032055901	547
BRD:BRD-A07164067-001-01-2	-0.021012692473597595	0.6222798648455282	552
BRD:BRD-A04843135-001-09-9	-0.020382505170520863	0.5510225958720448	858
BRD:BRD-A00047421-001-01-7	-0.018159718430987095	0.5910123887893162	878
BRD:BRD-A04971881-003-01-3	-0.01749188643511246	0.6867320589485282	534
BRD:BRD-A03623303-045-09-5	-0.017484860205398123	0.6824261534171355	550
BRD:BRD-A04661934-001-02-9	-0.015705059135441183	0.7119970931630775	555
BRD:BRD-A02180903-001-04-5	-0.010802127369917678	0.8004510838969127	550
BRD:BRD-A04352665-001-05-3	-0.010401715804122193	0.8108271976615811	532
BRD:BRD-A07780951-001-08-9	-0.007917646008747135	0.8530206333224077	550
BRD:BRD-A07947329-001-01-4	-0.004838584006441056	0.909449335131484	555
BRD:BRD-A01493904-003-12-1	-0.0025234836659903605	0.952829338471122	552
BRD:BRD-A07932845-050-15-8	-0.0022360757817505065	0.9581206039317022	554
BRD:BRD-A04327189-001-15-1	-0.0022321614312460995	0.958307606481106	551
BRD:BRD-A08545410-003-07-8	-0.001073693472219568	0.98047594472255	522
BRD:BRD-A02990301-003-06-6	-0.00031645484027144794	0.9940920066367573	550
BRD:BRD-A00842753-001-01-9	0.00015820294068335394	0.99708991694725	534
BRD:BRD-A02743701-001-03-6	0.0037712244356290746	0.9296201986110988	551
BRD:BRD-A00092689-236-04-9	0.004075537714187532	0.9041241796090651	876
BRD:BRD-A03204438-001-01-2	0.004595476530961055	0.9208502257747546	470
BRD:BRD-A07563059-035-01-3	0.005340883080351619	0.9007275934544409	548
BRD:BRD-A04322457-003-17-9	0.005705816007205433	0.893790140135173	550
BRD:BRD-A03359064-001-02-3	0.006132900180058534	0.886203559191145	547
BRD:BRD-A03880619-001-01-0	0.0065769473999534	0.8810658703984756	520
BRD:BRD-A03216249-003-24-3	0.006702281790282327	0.8756074774862894	548
BRD:BRD-A05906449-004-01-1	0.008075652446407325	0.8505281270757319	547
BRD:BRD-A01636364-003-15-1	0.00816929522531855	0.8484047346814255	550
BRD:BRD-A04649065-001-01-7	0.008929449128238353	0.8469008529711665	470
BRD:BRD-A05523972-001-01-5	0.011314369484016326	0.7912018491363643	550
BRD:BRD-A01098288-001-02-9	0.01169988328777495	0.7863852434928018	539
BRD:BRD-A02232681-001-01-8	0.013428682482787155	0.7566417160983666	535
BRD:BRD-A01412266-001-01-0	0.01607239225965616	0.7081242490747327	545
BRD:BRD-A06352418-001-25-9	0.016502125986253835	0.704127904666375	532
BRD:BRD-A05186015-003-19-8	0.017743072929767758	0.6779970134946911	550
BRD:BRD-A04497688-001-04-2	0.018948233938564485	0.6574733384892295	550
BRD:BRD-A08255417-001-14-7	0.022536889450011834	0.5975806540762011	551
BRD:BRD-A05457250-001-08-4	0.022861630302089347	0.5916360896929548	553
BRD:BRD-A06390036-001-04-6	0.023068943996901074	0.5889567404197841	551
BRD:BRD-A04553218-050-16-2	0.02398460821358087	0.5745998937960825	550
BRD:BRD-A04203391-001-08-3	0.02646638275290588	0.5338038681517132	555
BRD:BRD-A00559310-003-01-1	0.02738472867161891	0.41822274308550555	876
BRD:BRD-A00578795-001-04-3	0.027701035580941044	0.5148871979614728	555
BRD:BRD-A05674712-001-06-0	0.027884688029256373	0.5249806426577203	522
BRD:BRD-A07000685-001-04-4	0.031169196953017723	0.46569791238147756	550
BRD:BRD-A03506276-001-01-5	0.0312032406418173	0.46521060693257105	550
BRD:BRD-A02473266-001-01-1	0.031884582277083795	0.49046089353044725	470
BRD:BRD-A04252265-003-01-4	0.03350580881611643	0.43502352913819514	545
BRD:BRD-A00077618-236-07-6	0.03361010058936333	0.4314834475772369	550
BRD:BRD-A03061970-003-07-3	0.03712886203380386	0.3848101405236732	550
BRD:BRD-A07207424-001-13-2	0.03767667103511063	0.37566230304807074	555
BRD:BRD-A08545410-003-08-6	0.038377634315613175	0.3668384870854655	555
BRD:BRD-A02532772-003-01-7	0.038743155859700805	0.4025290974092412	469
BRD:BRD-A03932035-004-04-3	0.04014400487497244	0.3554232627925808	532
BRD:BRD-A02933148-001-01-8	0.04074150379498554	0.3781723851166286	470
