drug	correlation	p_value	n	p_adjusted	significant_fdr
BRD:BRD-K11900042-001-14-4	-0.1741207886635532	5.401145093464169e-05	532	0.18336887592310855	False
BRD:BRD-K93258693-001-17-3	-0.16019007636036142	0.00015497765729954345	553	0.263074573265975	False
BRD:BRD-A53037217-001-02-0	-0.1411932987547821	0.0009286967818950808	547	0.5355023888774286	False
BRD:BRD-K46435977-003-11-1	-0.137141505127467	0.001302915391145582	547	0.5355023888774286	False
BRD:BRD-K71926323-001-13-8	-0.1330336782688888	0.0017336444060061752	552	0.5355023888774286	False
BRD:BRD-A13964793-001-02-6	-0.13183739450378348	0.001945943427687681	550	0.5355023888774286	False
BRD:BRD-K86309810-001-01-5	-0.13133118601521274	0.004386776270685428	469	0.6170534873939046	False
BRD:BRD-K44963273-001-06-9	-0.1294472404289189	0.00304747936957006	522	0.6066651021855239	False
BRD:BRD-K58319700-001-01-1	-0.12867051111160557	0.0052108179940916705	470	0.6170534873939046	False
BRD:BRD-K67772619-001-05-1	-0.12615479501610102	0.003176237561588826	545	0.6066651021855239	False
BRD:BRD-K72339976-065-04-7	-0.12549044317797695	0.0033410086625466724	545	0.6066651021855239	False
BRD:BRD-K73753850-003-01-6	-0.1250512898073948	0.0037667868208580515	535	0.6170534873939046	False
BRD:BRD-K07409305-001-01-1	-0.12465371188821218	0.003913352304485068	534	0.6170534873939046	False
BRD:BRD-K00610438-003-02-5	-0.12436826688232477	0.0034845270965000643	550	0.6066651021855239	False
BRD:BRD-K53723268-001-01-3	-0.12002753159646565	0.009197400845118263	470	0.6219614748185904	False
BRD:BRD-K75527158-360-04-9	-0.11998643720091197	0.006056277316368033	522	0.6170534873939046	False
BRD:BRD-A24191444-046-03-9	-0.11501031742104675	0.008535706132696162	522	0.6170534873939046	False
BRD:BRD-K15424032-001-03-6	-0.11493635209906125	0.007232133288962083	545	0.6170534873939046	False
BRD:BRD-K29542628-001-03-9	-0.11467749061515928	0.007365025708550612	545	0.6170534873939046	False
BRD:BRD-K47177710-001-03-1	-0.1136941098828576	0.00755373142174631	551	0.6170534873939046	False
BRD:BRD-K31633810-003-02-8	-0.11224440566972489	0.00860204128221678	547	0.6170534873939046	False
BRD:BRD-K72215350-001-06-5	-0.11221670697608939	0.008259863611720444	553	0.6170534873939046	False
BRD:BRD-A32269193-001-01-5	-0.11106234653349846	0.008951049440456316	553	0.620179854088759	False
BRD:BRD-K66664625-001-01-2	-0.11066337409379866	0.009394245117297346	550	0.6219614748185904	False
BRD:BRD-K96344439-002-02-7	-0.10922918129091629	0.011544753249804023	534	0.6749207357190978	False
BRD:BRD-K15318909-001-10-5	-0.10904476165533138	0.010779159092695948	546	0.6601242884954591	False
BRD:BRD-K63151507-001-02-4	-0.10823752278877077	0.011922167393241697	539	0.6749207357190978	False
BRD:BRD-K97181463-003-01-1	-0.10719003837406801	0.012125876686690204	547	0.6749207357190978	False
BRD:BRD-K89210380-001-13-7	-0.10700248048530385	0.013018442315562435	538	0.6749207357190978	False
BRD:BRD-A56152450-001-02-0	-0.10661000426853583	0.014815332321672075	522	0.6869642806957202	False
BRD:BRD-K21937671-001-10-0	-0.10563558042050641	0.013020821594733145	552	0.6749207357190978	False
BRD:BRD-K34388247-236-08-2	-0.10537188853216345	0.013418895334621237	550	0.6749207357190978	False
BRD:BRD-K67217586-001-08-0	-0.10506023745535162	0.014678665363932166	539	0.6869642806957202	False
BRD:BRD-K13050303-001-18-1	-0.10489271200649786	0.014112150248956248	547	0.6773823561305425	False
BRD:BRD-A68942014-003-01-7	-0.10432245116107317	0.014112347854144395	553	0.6773823561305425	False
BRD:BRD-K14003026-003-09-0	-0.10404953427806411	0.02348264011096904	474	0.701051528330237	False
BRD:BRD-K64990520-001-08-4	-0.10346891662361575	0.015482170824802856	547	0.6903650571913567	False
BRD:BRD-K28861668-001-01-9	-0.10281084338213668	0.015768125255205157	551	0.6903650571913567	False
BRD:BRD-K46908090-001-02-2	-0.10258831103422351	0.02614777439480113	470	0.701051528330237	False
BRD:BRD-K14590126-001-01-6	-0.10237529368625482	0.02646173189121151	470	0.701051528330237	False
BRD:BRD-K76634210-001-12-1	-0.10220898982792526	0.018149906420494178	534	0.701051528330237	False
BRD:BRD-K04622161-001-02-3	-0.10188905547226387	0.016734978142885683	551	0.6911249791794933	False
BRD:BRD-K49685476-001-15-9	-0.10187733879719849	0.017355787065205824	545	0.6911249791794933	False
BRD:BRD-K43410529-001-02-3	-0.10144361450787366	0.01848460392791789	539	0.701051528330237	False
BRD:BRD-K36395411-003-02-2	-0.10095296189626501	0.017359088548090082	555	0.6911249791794933	False
BRD:BRD-K97810537-001-12-8	-0.1008105493536853	0.021245085384868037	522	0.701051528330237	False
BRD:BRD-K89014967-001-04-3	-0.10025509325500401	0.018684378685181895	550	0.701051528330237	False
BRD:BRD-K97399794-001-15-3	-0.09996755756120283	0.018702627320670007	553	0.701051528330237	False
BRD:BRD-K85751432-001-03-3	-0.09986880411734365	0.02039456040216867	539	0.701051528330237	False
BRD:BRD-K00003230-001-01-9	-0.09927900123006887	0.0032313257089344157	878	0.6066651021855239	False
BRD:BRD-K82028950-300-02-9	-0.09899546136352069	0.020574482924158217	547	0.701051528330237	False
BRD:BRD-K26060080-065-05-6	-0.09850069998323908	0.021218550670981114	547	0.701051528330237	False
BRD:BRD-K82894950-001-01-0	-0.09842089188155984	0.032907184069925495	470	0.701051528330237	False
BRD:BRD-K05919151-001-01-6	-0.09839504487066808	0.02456780825862486	522	0.701051528330237	False
BRD:BRD-K47631482-003-06-2	-0.09783011794647922	0.02211941053152795	547	0.701051528330237	False
BRD:BRD-A66966115-001-01-0	-0.0976610364039359	0.021625130156355036	553	0.701051528330237	False
BRD:BRD-A47494775-003-11-3	-0.09733946246976843	0.022799402711598585	547	0.701051528330237	False
BRD:BRD-K54799382-003-08-4	-0.09704282345071748	0.003999752698945621	878	0.6170534873939046	False
BRD:BRD-A34205397-001-04-5	-0.09664282691190289	0.023286847927009368	551	0.701051528330237	False
BRD:BRD-K16338837-001-02-6	-0.0965309660648536	0.023959416351533428	547	0.701051528330237	False
BRD:BRD-K22316123-001-01-9	-0.09620345410577069	0.03707606667770466	470	0.701051528330237	False
BRD:BRD-K00004648-001-01-9	-0.09602606793215093	0.004401088841382191	878	0.6170534873939046	False
BRD:BRD-K44273375-001-25-0	-0.09600235723443369	0.02582706495938494	539	0.701051528330237	False
BRD:BRD-K49027941-001-01-1	-0.0958931314233527	0.02517747192226779	545	0.701051528330237	False
BRD:BRD-K93441486-067-12-8	-0.09529948877272461	0.024758038462414603	555	0.701051528330237	False
BRD:BRD-K12343256-001-08-9	-0.09497026606314067	0.0257971392766557	551	0.701051528330237	False
BRD:BRD-K40718343-001-02-6	-0.09476558864139052	0.02558047923209542	555	0.701051528330237	False
BRD:BRD-K15697815-001-16-2	-0.09472438521388395	0.02604901591330256	552	0.701051528330237	False
BRD:BRD-A20348246-001-15-8	-0.09453296574326332	0.02635348690677011	552	0.701051528330237	False
BRD:BRD-K97309399-001-09-4	-0.09434364889783947	0.02624702496285925	555	0.701051528330237	False
